ts_code,m1d_pct,close,p1d_pct,a_name,m10d_pct,m20d_pct,m2d_pct,m5d_pct,m60d_pct,ma10,ma2,ma20,ma5,ma60,p10d_pct,p20d_pct,p2d_pct,p5d_pct,p60d_pct,m1d_rank,p1d_rank,chg_1d,m2d_rank,p2d_rank,chg_2d,m5d_rank,p5d_rank,chg_5d,m10d_rank,p10d_rank,chg_10d,m20d_rank,p20d_rank,chg_20d,m60d_rank,p60d_rank,chg_60d
000001.SH,0.01609419474180649,2745.6182,-0.009757815309487257,上证综指,-0.09520251251000457,-0.09673782923483909,0.006179335252473765,-0.049112349699637424,-0.08997072586219365,2846.4880500000004,2723.8739,2922.520365,2749.0797,2973.4525333333336,0.01224770525652673,-0.0031302748338535896,-0.02168945764954984,-0.04847067137301485,-7.092984183384526e-06,6.0,10.0,4.0,12.0,7.0,-5.0,7.0,7.0,0.0,4.0,6.0,2.0,6.0,6.0,0.0,11.0,7.0,-4.0
399001.SZ,0.01300088258734039,10150.1252,-0.0009681871963247262,深证成指,-0.1236910533991997,-0.12722367980280005,0.012020108102953678,-0.06287433669171019,-0.0141959662950473,10613.979329999998,10084.9917,11071.688985,10131.11802,10839.187408333333,0.011098915938049314,-0.010370922609152582,-0.021818949607621447,-0.0648970774023957,-0.00015839684406745213,8.0,8.0,0.0,9.0,8.0,-1.0,12.0,9.0,-3.0,11.0,8.0,-3.0,11.0,10.0,-1.0,8.0,8.0,0.0
399005.SZ,0.007118475380985657,6635.7856,0.006426089130032276,中小板指,-0.12295698447431712,-0.13673849656798884,0.013590308468286088,-0.05905239629563789,0.016432955610190834,6917.159709999999,6612.3342,7254.58425,6606.456200000001,7060.337224999998,0.008946312831552498,-0.012712482728845776,-0.014694639445111716,-0.06791513993669462,0.003769976057297967,10.0,5.0,-5.0,8.0,6.0,-2.0,9.0,10.0,1.0,10.0,9.0,-1.0,12.0,11.0,-1.0,6.0,3.0,-3.0
399006.SZ,0.010608920130636107,1915.0464,0.004187082438392077,创业板指,-0.12672038186612003,-0.13993849653843737,0.014840422992197474,-0.05689684720621693,0.06959690019897369,1994.53418,1904.99475,2091.316775,1905.09998,1987.5305833333332,0.007593563715787247,-0.017920058793547505,-0.012416325468531837,-0.07403594660145363,0.0011060425175410719,9.0,6.0,-3.0,7.0,5.0,-2.0,8.0,11.0,3.0,12.0,10.0,-2.0,13.0,13.0,0.0,5.0,5.0,0.0
600739.SH,0.004841312533620226,18.68,0.03335186214563682,辽宁成大,-0.10192307692307669,0.07418056354226528,0.03835464146748229,-0.023523261892315732,0.24699599465954605,19.091999999999995,18.634999999999994,18.908000000000005,18.3,17.351333333333336,-0.017788461538461562,0.014951121334099383,0.002787068004458591,-0.0802884615384613,0.0013351134846462502,12.0,2.0,-10.0,5.0,3.0,-2.0,3.0,12.0,9.0,7.0,15.0,8.0,2.0,2.0,0.0,2.0,4.0,2.0
000338.SZ,0.028571428571428536,12.6,-0.017642341619887855,潍柴动力,-0.15208613728129217,-0.15492957746478878,0.010425020048115316,-0.07556859867938391,-0.14051841746248295,13.33,12.425,14.068,12.562000000000001,14.419500000000001,0.0269179004037685,-0.00871898054996643,-0.02501954652071915,-0.08277254374158806,-0.0006821282401090455,3.0,12.0,9.0,10.0,9.0,-1.0,14.0,13.0,-1.0,14.0,3.0,-11.0,14.0,9.0,-5.0,14.0,9.0,-5.0
600893.SH,0.018396846254927723,23.25,-0.011688311688311857,航发动力,-0.06250000000000006,-0.11191749427043547,0.006493506493506317,-0.06250000000000006,0.12590799031476993,23.82399999999999,23.039999999999992,24.148000000000007,23.398000000000003,22.542333333333332,0.012903225806451717,-0.042398777692895316,-0.03749999999999989,0.0,-0.0014527845036317964,4.0,11.0,7.0,11.0,12.0,1.0,11.0,2.0,-9.0,2.0,5.0,3.0,10.0,15.0,5.0,4.0,10.0,6.0
600369.SH,0.006355932203389852,4.75,0.019438444924406113,西南证券,-0.1037735849056603,-0.1037735849056603,0.02591792656587482,-0.06126482213438726,-0.030612244897959134,4.952,4.734999999999999,5.140499999999999,4.742,5.0713333333333335,0.03584905660377399,0.016981132075471757,-0.03541666666666663,-0.04528301886792454,0.0163265306122448,11.0,4.0,-7.0,6.0,11.0,5.0,10.0,6.0,-4.0,8.0,2.0,-6.0,7.0,1.0,-6.0,9.0,1.0,-8.0
002669.SZ,-1.1726056449357374e-16,14.400000000000002,0.048034934497817046,康达新材,-0.1519434628975264,-0.21696574225122334,0.04803493449781693,-0.007580978635423703,0.14376489277204163,14.629999999999999,14.400000000000004,16.130999999999997,13.942000000000004,14.61533333333333,0.01118963486454654,-0.01413811854268631,0.01627218934911237,-0.14546525323910484,-0.0039714058776805635,13.0,1.0,-12.0,3.0,1.0,-2.0,2.0,15.0,13.0,13.0,7.0,-6.0,15.0,12.0,-3.0,3.0,13.0,10.0
000096.SZ,-0.007759456838021329,10.23,-0.04359925788497217,广聚能源,-0.0986784140969163,-0.08904719501335703,-0.05102040816326529,-0.0648994515539305,-0.08660714285714283,10.968000000000002,10.27,10.940000000000001,10.810000000000002,11.047500000000003,-0.01233480176211461,-0.0035618878005342193,-0.0279531109107304,-0.036123348017621175,0.007142857142857134,15.0,15.0,0.0,15.0,10.0,-5.0,13.0,3.0,-10.0,6.0,13.0,7.0,5.0,7.0,2.0,10.0,2.0,-8.0
002054.SZ,-0.005908419497784309,6.73,-0.002945508100147337,德美化工,-0.16810877626699625,-0.10386151797603199,-0.008836524300441854,-0.13161290322580646,-0.11447368421052632,7.619999999999999,6.750000000000001,7.622500000000001,7.140000000000001,7.452000000000001,-0.013597033374536355,0.010652463382157062,-0.1627620221948213,-0.042027194066749034,-0.01842105263157891,14.0,9.0,-5.0,14.0,15.0,1.0,15.0,5.0,-10.0,15.0,14.0,-1.0,8.0,3.0,-5.0,13.0,14.0,1.0
600170.SH,0.015974440894568728,3.18,-0.018808777429467037,上海建工,-0.104225352112676,-0.039274924471299065,-0.0031347962382444316,-0.045045045045045,-0.09915014164305933,3.305,3.1550000000000007,3.3855,3.1919999999999997,3.392,0.019718309859155084,0.0030211480362536966,-0.012383900928792685,-0.06197183098591547,0.0,7.0,13.0,6.0,13.0,4.0,-9.0,6.0,8.0,2.0,9.0,4.0,-5.0,3.0,4.0,1.0,12.0,6.0,-6.0
300286.SZ,0.01784121320249757,11.409999999999998,0.02938475665748404,安科瑞,-0.06857142857142859,-0.08279742765273312,0.047750229568411295,-0.028936170212766257,0.006172839506172523,11.576000000000002,11.309999999999999,11.710499999999996,11.062000000000001,11.705833333333333,-0.009795918367346865,-0.02090032154340806,0.006469500924214486,-0.04081632653061197,-0.001763668430335686,5.0,3.0,-2.0,4.0,2.0,-2.0,4.0,4.0,0.0,3.0,12.0,9.0,4.0,14.0,10.0,7.0,11.0,4.0
002556.SZ,0.10071942446043165,7.65,0.0,辉隆股份,0.06843575418994385,0.11191860465116296,0.10071942446043165,-0.03652392947103275,0.4036697247706418,7.485000000000001,7.3,7.3035,7.42,6.442333333333333,0.040502793296089384,0.0029069767441861753,-0.1472392638036812,0.10893854748603324,-0.0018348623853213044,2.0,7.0,5.0,1.0,14.0,13.0,5.0,1.0,-4.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,12.0,11.0
300267.SZ,0.10073710073710078,4.48,-0.019277108433735056,尔康制药,-0.09677419354838712,-0.10400000000000001,0.07951807228915654,-0.006651884700665209,-0.23024054982817874,4.547,4.275,4.796000000000001,4.272,5.061833333333333,0.002016129032258024,-0.00799999999999998,-0.06108597285067861,-0.0907258064516129,-0.06357388316151207,1.0,14.0,13.0,2.0,13.0,11.0,1.0,14.0,13.0,5.0,11.0,6.0,9.0,8.0,-1.0,15.0,15.0,0.0
